Authors	Article Title	Source Title	Author Keywords	Abstract	Journal Abbreviation	Print Year	DOI	Taxon	Order	Genus	Done?	Excluded from data gathering (Introgression line, other misc hit, no quantiative metrics, etc.)	reason for exclusion	Claim introgression happening?	Evidence?	data type	Spot-checked
Qin, C; Guo, YR; Wu, JZ; Wang, L; Traw, MB; Zhang, YC	Comparative population genomic analysis provides insights into breeding of modern indica rice in China	GENE	Indica improvement; Population structure; Haplotype block; Artificial selection; Genomic analysis	Comparative genomic analysis within Asian cultivated rice (Oryza sativa L.) populations has greatly enriched our knowledge regarding rice domestication and the divergence of the indica and japonica subspecies, while study on genomic regions associated with improvement within the indica subspecies is still limited. Here, through combined investigation of 2,429 indica cultivar genomes from public sequencing projects, we depict the improvement of modern indica rice in China. We identify three subgroups within indica populations: two geographically distinct, historical subgroups indica I (Ind_I) and indica III (Ind_III) and a modern subgroup indica II (Ind_II). The modern indica subgroup Ind_II shows admixture of the other two subgroups and enrichment of alleles that had been low-frequency in the other two subgroups. The Chinese indica cultivars exhibit a strong subgroup component change from Ind_I to Ind_II in the 1980s. Through haplotype-based comparative analysis, we detect 187 regions associated with separation of Ind_II compared to Ind_I or Ind_III. Within those regions we find strong representation of beneficial agricultural production-related alleles in Ind_II and a positive correlation between grain yield and number of differentiated haplotypes. Phenotypic features of long and slender grain, small tiller angle and decreased flowering time were detected for Ind_II. Through haplotype-based comparative analysis between rice subpopulations and subspecies, we find differentiated haplotypes not only from indica itself but also from japonica and aus, suggesting that introgression from other rice sub-populations has substantially contributed to modern indica rice breeds. These results help clarify the evolutionary landscape of modern indica rice in China and provide useful targets for future improvement.	GENE	2020	10.1016/j.gene.2020.145303	Plants	Poales	Oryza	TRUE	TRUE	no stats of interest	TRUE	seqeuence similarity, ADMIXTURE, trees, GWAS	WGS	TRUE
Rancilhac, L; Irisarri, I; Angelini, C; Arntzen, JW; Wieslaw, B; Bossuyt, F; Kunzel, S; Luddecke, T; Pasmans, F; Sanchez, E; Weisrock, D; Veith, M; Wielstra, B; Steinfartz, S; Hofreiter, M; Philippe, H; Vences, M	Phylotranscriptomic evidence for pervasive ancient hybridization among Old World salamanders	MOLECULAR PHYLOGENETICS AND EVOLUTION	Amphibia; Salamandridae; RNAseq; Phylogenomics; Introgression; Phylogenetic network	Hybridization can leave genealogical signatures in an organism's genome, originating from the parental lineages and persisting over time. This potentially confounds phylogenetic inference methods that aim to represent evolution as a strictly bifurcating tree. We apply a phylotranscriptomic approach to study the evolutionary history of, and test for inter-lineage introgression in the Salamandridae, a Holarctic salamanders group of interest in studies of toxicity and aposematism, courtship behavior, and molecular evolution. Although the relationships between the 21 currently recognized salamandrid genera have been the subject of numerous molecular phylogenetic studies, some branches have remained controversial and sometimes affected by discordances between mitochondrial vs. nuclear trees. To resolve the phylogeny of this family, and understand the source of mitonuclear discordance, we generated new transcriptomic (RNAseq) data for 20 salamandrids and used these along with published data, including 28 mitochondrial genomes, to obtain a comprehensive nuclear and mitochondrial perspective on salamandrid evolution. Our final phylotranscriptomic data set included 5455 gene alignments for 40 species representing 17 of the 21 salamandrid genera. Using concatenation and species-tree phylogenetic methods, we find (1) Salamandrina sister to the clade of the True Salamanders (consisting of Chioglossa, Mertensiella, Lyciasalamandra, and Salamandra), (2) Ichthyosaura sister to the Near Eastern genera Neurergus and Ommatotriton, (3) Triturus sister to Lissotriton, and (4) Cynops paraphyletic with respect to Paramesotriton and Pachytriton. Combining introgression tests and phylogenetic networks, we find evidence for introgression among taxa within the clades of Modern Asian Newts and Modern European Newts. However, we could not unambiguously identify the number, position, and direction of introgressive events. Combining evidence from nuclear gene analysis with the observed mito-nuclear phylogenetic discordances, we hypothesize a scenario with hybridization and mitochondrial capture among ancestral lineages of (1) Lissotriton into Ichthyosaura and (2) Triturus into Calotriton, plus introgression of nuclear genes from Triturus into Lissotriton. Furthermore, both mitochondrial capture and nuclear introgression may have occurred among lineages assigned to Cynops. More comprehensive genomic data will, in the future, allow testing this against alternative scenarios involving hybridization with other, extinct lineages of newts.	MOL PHYLOGENET EVOL	2020	10.1016/j.ympev.2020.106967	Amphibians	Urodela	31 genus 	TRUE	TRUE	essentially used D3 to test if introgression was occuring across genera and just reported a p-value	TRUE	trees, PhyloNet, D-like approach	mtDNA, Transcriptome	TRUE
Wu, Z; Bortoluzzi, C; Derks, MFL; Liu, LQ; Bosse, M; Hiemstra, SJ; Groenen, MAM; Crooijmans, RPMA	Heterogeneity of a dwarf phenotype in Dutch traditional chicken breeds revealed by genomic analyses	EVOLUTIONARY APPLICATIONS	bantam; chicken; convergent selection; dwarfism; genome-wide association study; heterogeneity; whole-genome sequencing	The growth of animals is a complex trait, in chicken resulting in a diverse variety of forms, caused by a heterogeneous genetic basis. Bantam chicken, known as an exquisite form of dwarfism, has been used for crossbreeding to create corresponding dwarf counterparts for native fowls in the Dutch populations. Here, we demonstrate the heterogeneity of the bantam trait in Dutch chickens and reveal the underlying genetic causes, using whole-genome sequence data from matching pairs of bantam and normal-sized breeds. During the bantam-oriented crossbreeding, various bantam origins were used to introduce the bantam phenotype, and three major bantam sources were identified and clustered. The genome-wide association studies revealed multiple genetic variants and genes associated with bantam phenotype, including HMGA2 and PRDM16, genes involved in body growth and stature. The comparison of associated variants among studies illustrated differences related to divergent bantam origins, suggesting a clear heterogeneity among bantam breeds. We show that in neo-bantam breeds, the bantam-related regions underwent a strong haplotype introgression from the bantam source, outcompeting haplotypes from the normal-sized counterpart. The bantam heterogeneity is further confirmed by the presence of multiple haplotypes comprising associated alleles, which suggests the selection of the bantam phenotype is likely subject to a convergent direction across populations. Our study demonstrates that the diverse history of human-mediated crossbreeding has contributed to the complexity and heterogeneity of the bantam phenotype.	EVOL APPL	2020	10.1111/eva.13183	Birds	Galliformes	Gallus	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, trees, GWAS	WGS	TRUE
Ramirez-Ayala, LC; Rocha, D; Ramos-Onsins, SE; Leno-Colorado, J; Charles, M; Bouchez, O; Rodriguez-Valera, Y; Perez-Enciso, M; Ramayo-Caldas, Y	Whole-genome sequencing reveals insights into the adaptation of French Charolais cattle to Cuban tropical conditions	GENETICS SELECTION EVOLUTION		BackgroundIn the early 20th century, Cuban farmers imported Charolais cattle (CHFR) directly from France. These animals are now known as Chacuba (CHCU) and have become adapted to the rough environmental tropical conditions in Cuba. These conditions include long periods of drought and food shortage with extreme temperatures that European taurine cattle have difficulty coping with.ResultsIn this study, we used whole-genome sequence data from 12 CHCU individuals together with 60 whole-genome sequences from six additional taurine, indicus and crossed breeds to estimate the genetic diversity, structure and accurate ancestral origin of the CHCU animals. Although CHCU animals are assumed to form a closed population, the results of our admixture analysis indicate a limited introgression of Bos indicus. We used the extended haplotype homozygosity (EHH) approach to identify regions in the genome that may have had an important role in the adaptation of CHCU to tropical conditions. Putative selection events occurred in genomic regions with a high proportion of Bos indicus, but they were not sufficient to explain adaptation of CHCU to tropical conditions by Bos indicus introgression only. EHH suggested signals of potential adaptation in genomic windows that include genes of taurine origin involved in thermogenesis (ATP9A, GABBR1, PGR, PTPN1 and UCP1) and hair development (CCHCR1 and CDSN). Within these genes, we identified single nucleotide polymorphisms (SNPs) that may have a functional impact and contribute to some of the observed phenotypic differences between CHCU and CHFR animals.ConclusionsWhole-genome data confirm that CHCU cattle are closely related to Charolais from France (CHFR) and Canada, but also reveal a limited introgression of Bos indicus genes in CHCU. We observed possible signals of recent adaptation to tropical conditions between CHCU and CHFR founder populations, which were largely independent of the Bos indicus introgression. Finally, we report candidate genes and variants that may have a functional impact and explain some of the phenotypic differences observed between CHCU and CHFR cattle.	GENET SEL EVOL	2020	10.1186/s12711-020-00597-9	Mammals	Artiodactyla	Bos	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, ADMIXTURE	WGS	TRUE
Rose, JP; Toledo, CAP; Lemmon, EM; Lemmon, AR; Sytsma, KJ	Out of Sight, Out of Mind: Widespread Nuclear and Plastid-Nuclear Discordance in the Flowering Plant Genus Polemonium (Polemoniaceae) Suggests Widespread Historical Gene Flow Despite Limited Nuclear Signal	SYSTEMATIC BIOLOGY	Cyto-nuclear discordance; genomic discordance; phylogenetic networks; plastid capture; Polemoniaceae; Polemonium; reticulations	Phylogenomic data from a rapidly increasing number of studies provide new evidence for resolving relationships in recently radiated clades, but they also pose new challenges for inferring evolutionary histories. Most existing methods for reconstructing phylogenetic hypotheses rely solely on algorithms that only consider incomplete lineage sorting (ILS) as a cause of intra- or intergenomic discordance. Here, we utilize a variety of methods, including those to infer phylogenetic networks, to account for both ILS and introgression as a cause for nuclear and cytoplasmic-nuclear discordance using phylogenomic data from the recently radiated flowering plant genus Polemonium (Polemoniaceae), an ecologically diverse genus in Western North America with known and suspected gene flow between species. We find evidence for widespread discordance among nuclear loci that can be explained by both ILS and reticulate evolution in the evolutionary history of Polemonium. Furthermore, the histories of organellar genomes show strong discordance with the inferred species tree from the nuclear genome. Discordance between the nuclear and plastid genome is not completely explained by ILS, and only one case of discordance is explained by detected introgression events. Our results suggest that multiple processes have been involved in the evolutionary history of Polemonium and that the plastid genome does not accurately reflect species relationships. We discuss several potential causes for this cytoplasmic-nuclear discordance, which emerging evidence suggests is more widespread across the Tree of Life than previously thought.	SYST BIOL	2021	10.1093/sysbio/syaa049	Plants	Ericales	Polemonium	TRUE	TRUE	no stats of interest	TRUE	trees	cpDNA, ptDNA, nrDNA	TRUE
Ravinet, M; Kume, M; Ishikawa, A; Kitano, J	Patterns of genomic divergence and introgression between Japanese stickleback species with overlapping breeding habitats	JOURNAL OF EVOLUTIONARY BIOLOGY		With only a few absolute geographic barriers in marine environments, the factors maintaining reproductive isolation among marine organisms remain elusive. However, spatial structuring in breeding habitat can contribute to reproductive isolation. This is particularly important for marine organisms that migrate to use fresh- or brackish water environments to breed. The Japanese Gasterosteus stickleback species, the Pacific Ocean three-spined stickleback (G. aculeatus) and the Japan Sea stickleback (G. nipponicus) overwinter in the sea, but migrate to rivers for spawning. Although they co-occur at several locations across the Japanese islands, they are reproductively isolated. Our previous studies in Bekanbeushi River showed that the Japan Sea stickleback spawns in the estuary, while the Pacific Ocean stickleback mainly spawns further upstream in freshwater. Overall genomic divergence was very high with many interspersed regions of introgression. Here, we investigated genomic divergence and introgression between the sympatric species in the much shorter Tokotan River, where they share spawning sites. The levels of genome-wide divergence were reduced and introgression was increased, suggesting that habitat isolation substantially contributes to a reduction in gene flow. We also found that genomic regions of introgression were largely shared between the two systems. Furthermore, some regions of introgression were located near loci with a heterozygote advantage for juvenile survival. Taken together, introgression may be partially driven by adaptation in this system. Although, the two species remain clearly genetically differentiated. Regions with low recombination rates showed especially low introgression. Speciation reversal is therefore likely prevented by barriers other than habitat isolation.	J EVOLUTION BIOL	2020	10.1111/jeb.13664	Fish	Gasterosteiformes	Gasterosteus	TRUE	FALSE		TRUE	D, fd, ADMIXTURE, sequence similarity, trees, PCA	WGS	TRUE
Small, ST; Labbe, F; Lobo, NF; Koekemoer, LL; Sikaala, CH; Neafsey, DE; Hahn, MW; Fontaine, MC; Besansky, NJ	Radiation with reticulation marks the origin of a major malaria vector	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	adaptive radiation; Anopheles funestus; anopheline mosquito species complex; introgression; reticulate evolution	Advances in genomics have led to an appreciation that introgression is common, but its evolutionary consequences are poorly understood. In recent species radiations the sharing of genetic variation across porous species boundaries can facilitate adaptation to new environments and generate novel phenotypes, which may contribute to further diversification. Most Anopheles mosquito species that are of major importance as human malaria vectors have evolved within recent and rapid radiations of largely nonvector species. Here, we focus on one of the most medically important yet understudied anopheline radiations, the Afrotropical Anopheles funestus complex (AFC), to investigate the role of introgression in its diversification and the possible link between introgression and vector potential. The AFC comprises at least seven morphologically similar species, yet only An. funestus sensu stricto is a highly efficient malaria vector with a pan-African distribution. Based on de novo genome assemblies and additional whole-genome resequencing, we use phylogenomic and population genomic analyses to establish species relationships. We show that extensive interspecific gene flow involving multiple species pairs has shaped the evolutionary history of the AFC since its diversification. The most recent introgression event involved a massive and asymmetrical movement of genes from a distantly related AFC lineage into An. funestus, an event that predated and plausibly facilitated its subsequent dramatic geographic range expansion across most of tropical Africa. We propose that introgression may be a common mechanism facilitating adaptation to new environments and enhancing vectorial capacity in Anopheles mosquitoes.	P NATL ACAD SCI USA	2020	10.1073/pnas.2018142117	Insects	Diptera	Anopheles	TRUE	FALSE		TRUE	D, trees, HMM approaches, demographic inference, ML appproaches	WGS	TRUE
Sugihara, Y; Darkwa, K; Yaegashi, H; Natsume, S; Shimizu, M; Abe, A; Hirabuchi, A; Ito, K; Oikawa, K; Tamiru-Oli, M; Ohta, A; Matsumoto, R; Agre, P; De Koeyer, D; Pachakkil, B; Yamanaka, S; Muranaka, S; Takagi, H; Ben White; Asiedu, R; Innan, H; Asfaw, A; Adebola, P; Terauchi, R	Genome analyses reveal the hybrid origin of the staple crop white Guinea yam (Dioscorea rotundata)	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	domestication; Guinea yam; hybrid; population genomics; wild progenitors	White Guinea yam (Dioscorea rotundata) is an important staple tuber crop in West Africa. However, its origin remains unclear. In this study, we resequenced 336 accessions of white Guinea yam and compared them with the sequences of wild Dioscorea species using an improved reference genome sequence of D. rotundata. In contrast to a previous study suggesting that D. rotundata originated from a subgroup of Dioscorea praehensilis, our results suggest a hybrid origin of white Guinea yam from crosses between the wild rainforest species D. praehensilis and the savannah-adapted species Dioscorea abyssinica. We identified a greater genomic contribution from D. abyssinica in the sex chromosome of Guinea yam and extensive introgression around the SWEETIE gene. Our findings point to a complex domestication scenario for Guinea yam and highlight the importance of wild species as gene donors for improving this crop through molecular breeding.	P NATL ACAD SCI USA	2020	10.1073/pnas.2015830117	Plants	Dioscoreales	Dioscorea	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, STRUCTURE, trees, demographic inference	WGS	TRUE
Lopez-Delgado, J; van Riemsdijk, I; Arntzen, JW	Tracing species replacement in Iberian marbled newts	ECOLOGY AND EVOLUTION	amphibians; enclave; hybridization; introgression; secondary contact; Triturus	Secondary contact between closely related species can lead to the formation of hybrid zones, allowing for interspecific gene flow. Hybrid zone movement can take place if one of the species possesses a competitive advantage over the other, ultimately resulting in species replacement. Such hybrid zone displacement is predicted to leave a genomic footprint across the landscape in the form of asymmetric gene flow (or introgression) of selectively neutral alleles from the displaced to the advancing species. Hybrid zone movement has been suggested for marbled newts in the Iberian Peninsula, supported by asymmetric gene flow and a distribution relict (i.e., an enclave) of Triturus marmoratus in the range of T. pygmaeus. We developed a panel of nuclear and mitochondrial SNP markers to test for the presence of a T. marmoratus genomic footprint in the Lisbon peninsula, south of the enclave. We found no additional populations of T. marmoratus. Analysis with the software Structure showed no genetic traces of T. marmoratus in T. pygmaeus. A principal component analysis showed some variation within the local T. pygmaeus, but it is unclear if this represents introgression from T. marmoratus. The results may be explained by (a) species replacement without introgressive hybridization and (b) displacement with hybridization followed by the near-complete erosion of the footprint by purifying selection. We predict that testing for a genomic footprint north of the reported enclave would confirm that species replacement in these marbled newts occurred with hybridization.	ECOL EVOL	2020	10.1002/ece3.7060	Amphibians	Urodela	Triturus	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, STRUCTURE	mtDNA, Transcriptome	TRUE
Benestan, LM; Rougemont, Q; Senay, C; Normandeau, E; Parent, E; Rideout, R; Bernatchez, L; Lambert, Y; Audet, C; Parent, GJ	Population genomics and history of speciation reveal fishery management gaps in two related redfish species (Sebastes mentella and Sebastes fasciatus)	EVOLUTIONARY APPLICATIONS	demographic models; fishery management; population genomics; related species; Sebastes; spatial ecology	Understanding the processes shaping population structure and reproductive isolation of marine organisms can improve their management and conservation. Using genomic markers combined with estimation of individual ancestries, assignment tests, spatial ecology, and demographic modeling, we (i) characterized the contemporary population structure, (ii) assessed the influence of space, fishing depth, and sampling years on contemporary distribution, and (iii) reconstructed the speciation history of two cryptic redfish species, Sebastes mentella and S. fasciatus. We genotyped 860 individuals in the Northwest Atlantic Ocean using 24,603 filtered single nucleotide polymorphisms (SNPs). Our results confirmed the clear genetic distinctiveness of the two species and identified three ecotypes within S. mentella and five populations in S. fasciatus. Multivariate analyses highlighted the influence of spatial distribution and depth on the overall genomic variation, while demographic modeling revealed that secondary contact models best explained inter- and intragenomic divergence. These species, ecotypes, and populations can be considered as a rare and wide continuum of genomic divergence in the marine environment. This acquired knowledge pertaining to the evolutionary processes driving population divergence and reproductive isolation will help optimizing the assessment of demographic units and possibly to refine fishery management units.	EVOL APPL	2020	10.1111/eva.13143	Fish	Scorpaeniformes	Sebastes	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, ADMIXTURE, demographic inference	microsatellites	TRUE
