Species_1 (P1)	Species_2 (P2)	Species_3 (P3)	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Setophaga auduboni (southern)	Setophaga auduboni (northern)	Setophaga coronata coronata	Chordata	Aves	D	0.077	9.3 × 10−10	GBS	https://onlinelibrary.wiley.com/doi/full/10.1111/mec.14858?casa_token=PjfbcRuutDQAAAAA%3A5Nr5DNFbz413OFysxr8xnINI7_dk-npOdcH4_5cJzms7R8iBx7hVZZqDy7OqA2y95IJNh_SiAhLIZQ	AD			specific configurations	no	P			
Setophaga coronata nigrifrons	Setophaga auduboni (northern)	Setophaga coronata coronata	Chordata	Aves	D	0.047	4.6 × 10−6	GBS	https://onlinelibrary.wiley.com/doi/full/10.1111/mec.14858?casa_token=PjfbcRuutDQAAAAA%3A5Nr5DNFbz413OFysxr8xnINI7_dk-npOdcH4_5cJzms7R8iBx7hVZZqDy7OqA2y95IJNh_SiAhLIZQ	AD			specific configurations	no	P			
Zimmerius viridiflavus	Zimmerius viridiflavus	Zimmerius chrysops	Chordata	Aves	D	0.092	p; 0.0033	RAD	https://doi.org/10.1093/sysbio/syt070	Heidi	3/31/20		specific configurations	no	P			
Oenanthe cypriaca	Oenanthe hispanica melanoleuca	Oenanthe pleschanka	Chordata	Aves	D	0.166	p; <0.001	RAD	10.1111/jeb.13401	Heidi	5/2/20		multiple configurations	no	P			
Oenanthe cypriaca	Oenanthe hispanica melanoleuca	Oenanthe pleschanka	Chordata	Aves	D	0.16	p; <0.001	RAD	10.1111/jeb.13401	Heidi	5/2/20		multiple configurations	no	P			
Oenanthe cypriaca	Oenanthe hispanica melanoleuca	Oenanthe hispanica hispanica	Chordata	Aves	D	0.044	p; <0.001	RAD	10.1111/jeb.13401	Heidi	5/2/20		multiple configurations	no	P			
Oenanthe hispanica melanoleuca	Oenanthe pleschanka	Oenanthe hispanica hispanica	Chordata	Aves	D	-0.058	p; <0.001	RAD	10.1111/jeb.13401	Heidi	5/2/20		multiple configurations	no	P			
Oenanthe cypriaca	Oenanthe pleschanka	Oenanthe hispanica hispanica	Chordata	Aves	D	-0.012	p; <0.001	RAD	10.1111/jeb.13401	Heidi	5/2/20		multiple configurations	no	P			
Oenanthe cypriaca	Oenanthe hispanica melanoleuca	Oenanthe pleschanka	Chordata	Aves	fhom	0.144	p; <0.001	RAD	10.1111/jeb.13401	DP	2/6/21		multiple configurations	no	P			
Oenanthe cypriaca	Oenanthe hispanica melanoleuca	Oenanthe pleschanka	Chordata	Aves	fhom	0.185	p; <0.001	RAD	10.1111/jeb.13401	DP	2/6/21		multiple configurations	no	P			
Oenanthe cypriaca	Oenanthe hispanica melanoleuca	Oenanthe hispanica hispanica	Chordata	Aves	fhom	0.059	p; <0.001	RAD	10.1111/jeb.13401	DP	2/6/21		multiple configurations	no	P			
Oenanthe hispanica melanoleuca	Oenanthe pleschanka	Oenanthe hispanica hispanica	Chordata	Aves	fhom	0.075	p; <0.001	RAD	10.1111/jeb.13401	DP	2/6/21		multiple configurations	no	P			
Oenanthe cypriaca	Oenanthe pleschanka	Oenanthe hispanica hispanica	Chordata	Aves	fhom	0.017	p; <0.001	RAD	10.1111/jeb.13401	DP	2/6/21		multiple configurations	no	P			
Selasphorus calliope	Selasphorus calliope	Selasphorus rufus	Chordata	Aves	D	0.00215	Z; 1.6	RAD	https://doi.org/10.1111/evo.13888	AD	11/09/20		all pairwise	no	Z			
Selasphorus calliope	Selasphorus calliope	Selasphorus sasin	Chordata	Aves	D	0.00164	Z; 1.37	RAD	https://doi.org/10.1111/evo.13888	AD	11/10/20		all pairwise	no	Z			
Selasphorus calliope	Selasphorus calliope	Selasphorus sasin sedantarius	Chordata	Aves	D	0.00219	Z; 1.59	RAD	https://doi.org/10.1111/evo.13888	AD	11/11/20		all pairwise	no	Z			
Selasphorus rufus	Selasphorus rufus	Selasphorus calliope	Chordata	Aves	D	0.00247	Z; 1.30	RAD	https://doi.org/10.1111/evo.13888	AD	11/12/20		all pairwise	no	Z			
Selasphorus rufus	Selasphorus rufus	Selasphorus sasin	Chordata	Aves	D	0.00338	Z; 1.84	RAD	https://doi.org/10.1111/evo.13888	AD	11/13/20		all pairwise	no	Z			
Selasphorus rufus	Selasphorus rufus	Selasphorus sasin sedantarius	Chordata	Aves	D	0.00424	Z; 2.12	RAD	https://doi.org/10.1111/evo.13888	AD	11/14/20		all pairwise	no	Z			
Selasphorus sasin	Selasphorus sasin	Selasphorus calliope	Chordata	Aves	D	0.00493	Z; 2.76	RAD	https://doi.org/10.1111/evo.13888	AD	11/15/20		all pairwise	no	Z			
Selasphorus sasin	Selasphorus sasin	Selasphorus rufus	Chordata	Aves	D	0.0226	Z; 9.85	RAD	https://doi.org/10.1111/evo.13888	AD	11/16/20		all pairwise	no	Z			
Selasphorus sasin	Selasphorus sasin	Selasphorus sasin sedantarius	Chordata	Aves	D	0.0272	Z; 10.7	RAD	https://doi.org/10.1111/evo.13888	AD	11/17/20		all pairwise	no	Z			
Selasphorus sasin	Selasphorus sasin sedantarius	Selasphorus calliope	Chordata	Aves	D	0.00382	Z; 1.83	RAD	https://doi.org/10.1111/evo.13888	AD	11/18/20		all pairwise	no	Z			
