P1	P2	P3	phylum	class	metric	value	significant (Y/N;p-value;z-stat)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time	Recombination(+,0,-)	Sex chromosomes (+;0;-)	mating system	Ne difference?
Catostomus tahoensis	Catostomus columbianus	Catostomus Pantosteus	Chordata	Actinopterygii	D	0.2	N	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus latipinnis	Catostomus latipinnis	Catostomus insignis	Chordata	Actinopterygii	D	0.64	Y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus latipinnis	Catostomus latipinnis	Catostomus insignis	Chordata	Actinopterygii	D	0.48	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus latipinnis	Catostomus insignis	Catostomus texanus	Chordata	Actinopterygii	D	0.53	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus latipinnis	Catostomus latipinnis	Catostomus texanus	Chordata	Actinopterygii	D	0.44	n	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus virescens	Catostomus discobolus	Catostomus clarkii	Chordata	Actinopterygii	D	0.62	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus virescens	Catostomus discobolus	Catostomus clarkii	Chordata	Actinopterygii	D	0.4	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus virescens	Catostomus discobolus	Catostomus clarkii	Chordata	Actinopterygii	D	0.13	n	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus santaanae	Catostomus clarkii	Catostomus discobolus	Chordata	Actinopterygii	D	0.43	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus santaanae	Catostomus clarkii	Catostomus discobolus	Chordata	Actinopterygii	D	0.18	n	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
