Authors	Title	Journal	Abstract	Print Year	DOI		Taxon	Order	Genus (or number of)	Done?	Excluded from data gathering (Introgression line, other misc hit, no quantiative metrics, etc.)	reason for exclusion	Claim introgression happening?	Evidence?	Data type (amplicon, microsat, sanger, WGS, RAD, transcriptome, exome)	Spot-checked	
Runemark, Anna; Trier, Cassandra N.; Eroukhmanoff, Fabrice; Hermansen, Jo S.; Matschiner, Michael; Ravinet, Mark; Elgvin, Tore O.; Saetre, Glenn-Peter	Variation and constraints in hybrid genome formation	NATURE ECOLOGY & EVOLUTION	Hybridization is an important source of variation; it transfers adaptive genetic variation across species boundaries and generates new species. Yet, the limits to viable hybrid genome formation are poorly understood. Here we investigated to what extent hybrid genomes are free to evolve by sequencing the genomes of four island populations of the homoploid hybrid Italian sparrow Passer italiae. We report that a variety of novel and fully functional hybrid genomic combinations are likely to have arisen independently on Crete, Corsica, Sicily and Malta, with differentiation in candidate genes for beak shape and plumage colour. However, certain genomic regions are invariably inherited from the same parent species, limiting variation. These regions are over-represented on the Z chromosome and harbour candidate incompatibility loci, including DNA-repair and mitonuclear genes. These gene classes may contribute to the general reduction of introgression on sex chromosomes. This study demonstrates that hybrid genomes may vary, and identifies new candidate reproductive isolation genes.	2018	10.1038/s41559-017-0437-7		Birds	Passeriformes	Passer	TRUE	FALSE		TRUE	ADMIXTURE, PCA, Fst, Saguaro, Dstats	WGS (49237560 loci)	TRUE	
Carling, Matthew D.; Brumfield, Robb T.	Speciation in Passerina buntings: introgression patterns of sex-linked loci identify a candidate gene region for reproductive isolation	MOLECULAR ECOLOGY	Sex-chromosomes are thought to play an important role in speciation, but few studies of non-model organisms have investigated the relative influence of multiple sex-linked markers on reproductive isolation. We collected 222 individuals along a geographical transect spanning the hybrid zone between Passerina amoena and P. cyanea (Aves: Cardinalidae). Using maximum-likelihood cline fitting methods, we estimated locus-specific introgression rates for 10 z-linked markers. Although the cline width estimates ranged from 2.8 to 584 km, eight of 10 loci had cline widths between 224 and 271 km. We also used coalescent-based estimates of locus-specific divergence times between P. amoena and P. cyanea to test a recently proposed hypothesis of an inverse relationship between divergence time and cline width but did not find a significant association. The narrow width (2.8 km) of the cline estimated from the VLDLR9 locus indicates strong selection retarding introgression of alleles at this locus across the hybrid zone. Interestingly, a mutation in the very low density lipoprotein receptor (VLDLR) gene, in which VLDLR9 is an intron, is known to reduce the egg-laying ability of some chickens, suggesting a possible link between this gene region and reproductive isolation between P. amoena and P. cyanea. These results underscore the importance of sampling multiple loci to investigate introgression patterns across a chromosome or genome and support previous findings of the importance of sex-linked genes in speciation.	2009	10.1111/j.1365-294X.2008.04038.x		Birds	Passeriformes	Passerina	TRUE	TRUE	no stats	TRUE	clinal, demographic	amplicons (9 loci)	TRUE	
Carling, Matthew D.; Brumfield, Robb T.	HALDANE'S RULE IN AN AVIAN SYSTEM: USING CLINE THEORY AND DIVERGENCE POPULATION GENETICS TO TEST FOR DIFFERENTIAL INTROGRESSION OF MITOCHONDRIAL, AUTOSOMAL, AND SEX-LINKED LOCI ACROSS THE PASSERINA BUNTING HYBRID ZONE	EVOLUTION	Using cline fitting and divergence population genetics, we tested a prediction of Haldane's rule: autosomal alleles should introgress more than z-linked alleles or mitochondrial haplotypes across the Passerina amoena/Passerina cyanea (Aves: Cardinalidae) hybrid zone. We screened 222 individuals collected along a transect in the Great Plains of North America that spans the contact zone for mitochondrial (two genes), autosomal (four loci) and z-linked (two loci) markers. Maximum-likelihood cline widths estimated from the mitochondrial (223 km) and z-linked (309 km) datasets were significantly narrower on average than the autosomal cline widths (466 km). We also found that mean coalescent-based estimates of introgression were larger for the autosomal loci (0.63 genes/generation, scaled to the mutation rate mu) than for both the mitochondrial (0.27) and z-linked loci (0.59). These patterns are consistent with Haldane's rule, but the among-locus variation also suggests many independently segregating loci are required to investigate introgression patterns across the genome. These results provide the first comprehensive comparison of mitochondrial, sex-linked, and autosomal loci across an avian hybrid zone and add to the body of evidence suggesting that sex chromosomes play an important role in the formation and maintenance of reproductive isolation between closely related species.	2008	10.1111/j.1558-5646.2008.00477.x		Birds	Passeriformes	Passerina	TRUE	TRUE	no stats	TRUE	clinal, demographic	sanger (8 loci)	TRUE	
Gay, L.; Neubauer, G.; Zagalska-Neubauer, M.; Debain, C.; Pons, J.-M.; David, P.; Crochet, P.-A.	Molecular and morphological patterns of introgression between two large white-headed gull species in a zone of recent secondary contact	MOLECULAR ECOLOGY	Incomplete reproductive isolation promotes gene flow between diverging taxa. However, any gene encoding for traits involved in the reproductive barriers will be less prone to introgression than neutral markers. Comparing introgression. rates among loci is thus informative of the number and functions of loci involved in the reproductive barriers. This study aimed at identifying possible mechanisms of restriction to gene flow across a zone of recent secondary contact between Larus argentatus and Larus cachinnans by comparing introgression patterns for nine microsatellite loci, a fragment of mitochondrial DNA and a set of phenotypic traits. The low linkage disequilibrium between neutral nuclear markers indicated introgression. without any barrier to gene flow. However, asymmetric introgression of mitochondrial DNA suggested that interspecific crosses may be more successful in one direction. The introgression rate for phenotypic traits was variable and low compared to neutral molecular markers. This was particularly evident in colouration of bare parts: individuals with intermediate colouration were scarcer in sympatry than expected if the genomes recombined freely. We hypothesized that one of these variables, the orbital ring colour, may play a role in mate choice, acting as an incomplete premating barrier through assortative mating. This study emphasizes that multilocus approaches are useful to discriminate among possible mechanisms responsible for the maintenance of hybrid zones.	2007	10.1111/j.1365-294X.2007.03363.x		Birds	Charadriiformes	Larus	TRUE	TRUE	no stats	TRUE	sequence similarity, PCA, phenotypic analysis	microsattelites (9 loci)	TRUE	
Kingston, S. E.; Parchman, T. L.; Gompert, Z.; Buerkle, C. A.; Braun, M. J.	Heterogeneity and concordance in locus-specific differentiation and introgression between species of towhees	JOURNAL OF EVOLUTIONARY BIOLOGY	The maintenance or breakdown of reproductive isolation is an observable outcome of secondary contact between species. In cases where hybrids beyond the F1 are formed, the representation of each species' ancestry can vary dramatically among genomic regions. This genomic heterogeneity in ancestry and introgression can offer insight into evolutionary processes, particularly if introgression is compared in multiple hybrid zones. Similarly, considerable heterogeneity exists across the genome in the extent to which populations and species have diverged, reflecting the combined effects of different evolutionary processes on genetic variation. We studied hybridization across two hybrid zones of two phenotypically well-differentiated bird species in Mexico (Pipilo maculatus and P.ocai), to investigate genomic heterogeneity in differentiation and introgression. Using genotyping-by-sequencing (GBS) and hierarchical Bayesian models, we genotyped 460 birds at over 41000 single nucleotide polymorphism (SNP) loci. We identified loci exhibiting extreme introgression relative to the genome-wide expectation using a Bayesian genomic cline model. We also estimated locus-specific F-ST and identified loci with exceptionally high genetic divergence between the parental species. We found some concordance of locus-specific introgression in the two independent hybrid zones (6-20% of extreme loci shared across zones), reflecting areas of the genome that experience similar gene flow when the species interact. Additionally, heterogeneity in introgression and divergence across the genome revealed another subset of loci under the influence of locally specific factors. These results are consistent with a history in which reproductive isolation has been influenced by a common set of loci in both hybrid zones, but where local environmental and stochastic factors also lead to genomic differentiation.	2017	10.1111/jeb.13033		Birds	Passeriformes	Pipulo	TRUE	TRUE	no stats	TRUE	sequence similarity, clinal analysis	RAD (41324 loci)	TRUE	
Kingston, Sarah E.; Jernigan, Robert W.; Fagan, William F.; Braun, David; Braun, Michael J.	Genomic variation in cline shape across a hybrid zone	ECOLOGY AND EVOLUTION	Hybrid zones are unique biological interfaces that reveal both population level and species level evolutionary processes. A genome-scale approach to assess gene flow across hybrid zones is vital, and now possible. In Mexican towhees (genus Pipilo), several morphological hybrid gradients exist. We completed a genome survey across one such gradient (9 populations, 140 birds) using mitochondrial DNA, 28 isozyme, and 377 AFLP markers. To assess variation in introgression among loci, cline parameters (i.e., width, center) for the 61 clinally varying loci were estimated and compiled into genomic distributions for tests against three empirical models spanning the range of observed cline shape. No single model accounts for observed variation in cline shape among loci. Numerous backcross individuals near the gradient center confirm a hybrid origin for these populations, contrary to a previous hypothesis based on social mimicry and character displacement. In addition, the observed variation does not bin into well-defined categories of locus types (e. g., neutral vs. highly selected). Our multi-locus analysis reveals cross-genomic variation in selective constraints on gene flow and locus-specific flexibility in the permeability of the interspecies membrane.	2012	10.1002/ece3.375		Birds	Passeriformes	Pipilo	TRUE	TRUE	no stats	TRUE	clinal analysis, sequence similarity	mtDNA (3 loci), isozymes (39 loci), AFLP (377 loci)	TRUE	
Kingston, Sarah E.; Navarro-Sigueenza, Adolfo G.; Garcia-Trejo, Erick A.; Vazquez-Miranda, Hernan; Fagan, William F.; Braun, Michael J.	Genetic differentiation and habitat connectivity across towhee hybrid zones in Mexico	EVOLUTIONARY ECOLOGY	Hybridization can either reinforce or erode species boundaries; therefore, hybrid zones offer a natural experimental setting in which to assess the dynamics of reproductive isolation. Secondary contact zones, in particular, present a partial separation of the original divergence mechanisms and the subsequent genomic architecture of reproductive isolation (or lack thereof). The spatial context of secondary contact and its consequent effect on dispersal play vital roles on the contact's outcome. In a hybrid complex between two towhee species in Mexico, Pipilo maculatus and Pipilo ocai, two major hybrid gradients provide natural replicates for comparison. However, genetic analyses demonstrate significant divergence between geographically separate parental populations of each species and divergence of populations within each hybrid zone. The two hybrid transects (Teziutlan and Transvolcanic) are distinct and evidence suggests allelic introgression both across the species boundary and between the two transects. Habitat corridors for dispersal represent functional connectivity hotspots where the two transects meet. Both habitat connectivity and genetic differentiation between geographically disparate parental populations appear to influence the dynamics of gene flow across the hybrid gradients. In southern sympatric populations (Mt. Orizaba and Oaxaca) where morphological evidence for hybridization is scarce, opposing species' alleles appear to traverse through the hybrid zones rather than arising from cryptic local hybridization. These results illustrate the importance of environmentally mediated gene flow in the context of secondary contact as an important force influencing evolutionary trajectory.	2014	10.1007/s10682-013-9673-8		Birds	Passeriformes	Pipilo	TRUE	TRUE	no stats	TRUE	clinal, haplotype network, demography, STRUCTURE	mtDNA (1 locus), AFLP (477 loci)	TRUE	
Knief, Ulrich; Bossu, Christen M.; Saino, Nicola; Hansson, Bengt; Poelstra, Jelmer; Vijay, Nagarjun; Weissensteiner, Matthias; Wolf, Jochen B. W.	Epistatic mutations under divergent selection govern phenotypic variation in the crow hybrid zone	NATURE ECOLOGY & EVOLUTION	The evolution of genetic barriers opposing interspecific gene flow is key to the origin of new species. Drawing from information on over 400 admixed genomes sourced from replicate transects across the European hybrid zone between all-black carrion crows and grey-coated hooded crows, we decipher the interplay between phenotypic divergence and selection at the molecular level. Over 68% of plumage variation was explained by epistasis between the gene NDP and a similar to 2.8-megabase region on chromosome 18 with suppressed recombination. Both pigmentation loci showed evidence for divergent selection resisting introgression. This study reveals how few, large-effect loci can govern prezygotic isolation and shield phenotypic divergence from gene flow.	2019	10.1038/s41559-019-0847-9		Birds	Passeriformes	Corvus	TRUE	TRUE	no stats	TRUE	clinal analysis, Fst, PCA, newhybrids	ChipSeq (1152 loci)	TRUE	
Parchman, T. L.; Gompert, Z.; Braun, M. J.; Brumfield, R. T.; McDonald, D. B.; Uy, J. A. C.; Zhang, G.; Jarvis, E. D.; Schlinger, B. A.; Buerkle, C. A.	The genomic consequences of adaptive divergence and reproductive isolation between species of manakins	MOLECULAR ECOLOGY	The processes of adaptation and speciation are expected to shape genomic variation within and between diverging species. Here we analyze genomic heterogeneity of genetic differentiation and introgression in a hybrid zone between two bird species (Manacus candei and M. vitellinus) using 59100 SNPs, a whole genome assembly, and Bayesian models. Measures of genetic differentiation (FST) and introgression (genomic cline center [] and rate []) were highly heterogeneous among loci. We identified thousands of loci with elevated parameter estimates, some of which are likely to be associated with variation in fitness in Manacus populations. To analyze the genomic organization of differentiation and introgression, we mapped SNPs onto a draft assembly of the M. vitellinus genome. Estimates of FST, , and were autocorrelated at very short physical distances (<100 bp), but much less so beyond this. In addition, average statistical associations (linkage disequilibrium) between SNPs were generally low and were not higher in admixed populations than in populations of the parental species. Although they did not occur with a constant probability across the genome, loci with elevated FST, , and were not strongly co-localized in the genome. Contrary to verbal models that predict clustering of loci involved in adaptation and isolation in discrete genomic regions, these results are consistent with the hypothesis that genetic regions involved in adaptive divergence and reproductive isolation are scattered throughout the genome. We also found that many loci were characterized by both exceptional genetic differentiation and introgression, consistent with the hypothesis that loci involved in isolation are also often characterized by a history of divergent selection. However, the concordance between isolation and differentiation was only partial, indicating a complex architecture and history of loci involved in isolation.	2013	10.1111/mec.12201		Birds	Passeriformes	Manacus	TRUE	TRUE	no stats	TRUE	clinal analysis, Fst	GBS (59100 loci)	TRUE	
Baldassarre, Daniel T.; White, Thomas A.; Karubian, Jordan; Webster, Michael S.	GENOMIC AND MORPHOLOGICAL ANALYSIS OF A SEMIPERMEABLE AVIAN HYBRID ZONE SUGGESTS ASYMMETRICAL INTROGRESSION OF A SEXUAL SIGNAL	EVOLUTION	Hybrid zones are geographic regions where differentiated taxa meet and potentially exchange genes. Increasingly, genomic analyses have demonstrated that many hybrid zones are semipermeable boundaries across which introgression is highly variable. In some cases, certain alleles penetrate across the hybrid zone in only one direction, recombining into the alternate genome. We investigated this phenomenon using genomic (genotyping-by-sequencing) and morphological (plumage reflectance spectrophotometry) analyses of the hybrid zone between two subspecies of the red-backed fairy-wren (Malurus melanocephalus) that differ conspicuously in a sexual signal, male back plumage color. Geographic cline analyses revealed a highly variable pattern of differential introgression, with many narrow coincident clines combined with several significantly wider clines, suggesting that the hybrid zone is a semipermeable tension zone. The plumage cline was shifted significantly into the genomic background of the orange subspecies, consistent with sexual selection driving asymmetrical introgression of red plumage alleles across the hybrid zone. This interpretation is supported by previous experimental work demonstrating an extra-pair mating advantage for red males, but the role of genetic dominance in driving this pattern remains unclear. This study highlights the potential for sexual selection to erode taxonomic boundaries and promote gene flow, particularly at an intermediate stage of divergence.	2014	10.1111/evo.12457		Birds	Passeriformes	Malurus	TRUE	TRUE	no stats	TRUE	clinal analysis, phenotypes, STRUCTURE	GBS (2702 loci)	TRUE	
Semenov, Georgy A.; Scordato, Elizabeth S. C.; Khaydarov, David R.; Smith, Chris C. R.; Kane, Nolan C.; Safran, Rebecca J.	Effects of assortative mate choice on the genomic and morphological structure of a hybrid zone between two bird subspecies	MOLECULAR ECOLOGY	Phenotypic differentiation plays an important role in the formation and maintenance of reproductive barriers. In some cases, variation in a few key aspects of phenotype can promote and maintain divergence; hence, the identification of these traits and their associations with patterns of genomic divergence is crucial for understanding the patterns and processes of population differentiation. We studied hybridization between the alba and personata subspecies of the white wagtail (Motacilla alba), and quantified divergence and introgression of multiple morphological traits and 19,437 SNP loci on a 3,000 km transect. Our goal was to identify traits that may contribute to reproductive barriers and to assess how variation in these traits corresponds to patterns of genome-wide divergence. Variation in only one trait-head plumage patterning-was consistent with reproductive isolation. Transitions in head plumage were steep and occurred over otherwise morphologically and genetically homogeneous populations, whereas cline centres for other traits and genomic ancestry were displaced over 100 km from the head cline. Field observational data show that social pairs mated assortatively by head plumage, suggesting that these phenotypes are maintained by divergent mating preferences. In contrast, variation in all other traits and genetic markers could be explained by neutral diffusion, although weak ecological selection cannot be ruled out. Our results emphasize that assortative mating may maintain phenotypic differences independent of other processes shaping genome-wide variation, consistent with other recent findings that raise questions about the relative importance of mate choice, ecological selection and selectively neutral processes for divergent evolution.	2017	10.1111/mec.14376		Birds	Passeriformes	Motacilla	TRUE	TRUE	no stats	TRUE	clinal, STRUCTURE, morphology	GBS (19437)	TRUE	
Winger, BM	Consequences of divergence and introgression for speciation in Andean cloud forest birds	EVOLUTION	NA	2017	10.1111/evo.13251		Birds	Passeriformes	Iridosornis	TRUE	FALSE		TRUE	Patterson's D, STRUCTURE, treemix, morphology	GBS (55000 loci +-)	TRUE	
Walsh, Jennifer; Kovach, Adrienne I.; Olsen, Brian J.; Shriver, W. Gregory; Lovette, Irby J.	Bidirectional adaptive introgression between two ecologically divergent sparrow species	EVOLUTION	Natural hybrid zones can be used to dissect the mechanisms driving key evolutionary processes by allowing us to identify genomic regions important for establishing reproductive isolation and that allow for transfer of adaptive variation. We leverage whole-genome data in a system where two bird species, the saltmarsh (Ammospiza caudacuta) and Nelson's (A. nelsoni) sparrow, hybridize despite their relatively high background genetic differentiation and past ecological divergence. Adaptive introgression is plausible in this system because Nelson's sparrows are recent colonists of saltwater marshes, compared to the specialized saltmarsh sparrow that has a longer history of saltmarsh adaptation. Comparisons among whole-genome sequences of 34 individuals from allopatric and sympatric populations show that ongoing gene flow is shaping the genomic landscape, with allopatric populations exhibiting genome-wide F-ST estimates close to double of that observed in sympatry. We characterized patterns of introgression across the genome and identify regions that exhibit biased introgression into hybrids from one parental species. These regions offer compelling candidates for genes related to tidal marsh adaptations suggesting that adaptive introgression may be an important consequence of hybridization. These findings highlight the value of considering the landscapes of both genome-wide introgression and divergence when characterizing the evolutionary forces that drive speciation.	2018	10.1111/evo.13581		Birds	Passeriformes	Ammospiza	TRUE	FALSE		TRUE	fD, PCA, ADMIXTURE, sequence similarity, f3, 	WGS (5587084 loci)	TRUE	
Battey, CJ	Evidence of linked selection on the Z chromosome of hybridizing hummingbirds	EVOLUTION	NA	2020	10.1111/evo.13888		Birds	Apodiformes	Selasphorus	TRUE	FALSE		TRUE	treemix, Patterson's D	RAD (14416 loci), WGS (5688922 loci)	TRUE	
Beckman, EJ; Benham, PM; Cheviron, ZA; Witt, CC	Detecting introgression despite phylogenetic uncertainty: The case of the South American siskins	MOLECULAR ECOLOGY	NA	2018	10.1111/mec.14795		Birds	Passeriformes	Spinus	TRUE	TRUE	no raw D-stats	TRUE	PCA, ADMIXTURE, Patterson's D, f4	GBS (27,460 loci), mtDNA (3 genes)	TRUE	
Lavretsky, P; Janzen, T; McCracken, KG	Identifying hybrids & the genomics of hybridization: Mallards & American black ducks of Eastern North America	ECOLOGY AND EVOLUTION	NA	2019	10.1002/ece3.4981		Birds	Anseriformes	Anatidae	TRUE	TRUE	no D-stats	TRUE	CLUMPP, ADMIXTURE, ancestry hmm, sequence similarity, 	RAD (3200 loci), mtDNA (1 gene)	TRUE	
Schweizer, Manuel; Warmuth, Vera; Kakhki, Niloofar Alaei; Aliabadian, Mansour; Foerschler, Marc; Shirihai, Hadoram; Suh, Alexander; Burri, Reto	Parallel plumage colour evolution and introgressive hybridization in wheatears	JOURNAL OF EVOLUTIONARY BIOLOGY	Genetic and phenotypic mosaics, in which various phenotypes and different genomic regions show discordant patterns of species or population divergence, offer unique opportunities to study the role of ancestral and introgressed genetic variation in phenotypic evolution. Here, we investigated the evolution of discordant phenotypic and genetic divergence in a monophyletic clade of four songbird taxa-pied wheatear (O. pleschanka), Cyprus wheatear (Oenanthe cypriaca), and western and eastern subspecies of black-eared wheatear (O. h. hispanica and O. h. melanoleuca). Phenotypically, black back and neck sides distinguish pied and Cyprus wheatears from the white-backed/necked black-eared wheatears. Meanwhile, mitochondrial variation only distinguishes western black-eared wheatear. In the absence of nuclear genetic data, and given frequent hybridization among eastern black-eared and pied wheatear, it remains unclear whether introgression is responsible for discordance between mitochondrial divergence patterns and phenotypic similarities, or whether plumage coloration evolved in parallel. Multispecies coalescent analyses of about 20,000 SNPs obtained from RAD data mapped to a draft genome assembly resolve the species tree, provide evidence for the parallel evolution of colour phenotypes and establish western and eastern black-eared wheatears as independent taxa that should be recognized as full species. The presence of the entire admixture spectrum in the Iranian hybrid zone and the detection of footprints of introgression from pied into eastern black-eared wheatear beyond the hybrid zone despite strong geographic structure of ancestry proportions furthermore suggest a potential role for introgression in parallel plumage colour evolution. Our results support the importance of standing heterospecific and/or ancestral variation in phenotypic evolution.	2019	10.1111/jeb.13401		Birds	Passeriformes	Oenantha	TRUE	FALSE		TRUE	PCA, ADMIXTURE, Patterson's D, treemix	RAD (27334 loci)	TRUE	
Irwin, Darren E.; Mila, Borja; Toews, David P. L.; Brelsford, Alan; Kenyon, Haley L.; Porter, Alison N.; Grossen, Christine; Delmore, Kira E.; Alcaide, Miguel; Irwin, Jessica H.	A comparison of genomic islands of differentiation across three young avian species pairs	MOLECULAR ECOLOGY	Detailed evaluations of genomic variation between sister species often reveal distinct chromosomal regions of high relative differentiation (i.e., "islands of differentiation" in F-ST), but there is much debate regarding the causes of this pattern. We briefly review the prominent models of genomic islands of differentiation and compare patterns of genomic differentiation in three closely related pairs of New World warblers with the goal of evaluating support for the four models. Each pair (MacGillivray's/mourning warblers; Townsend's/black-throated green warblers; and Audubon's/myrtle warblers) consists of forms that were likely separated in western and eastern North American refugia during cycles of Pleistocene glaciations and have now come into contact in western Canada, where each forms a narrow hybrid zone. We show strong differences between pairs in their patterns of genomic heterogeneity in F-ST, suggesting differing selective forces and/or differing genomic responses to similar selective forces among the three pairs. Across most of the genome, levels of within-group nucleotide diversity (pi(Within)) are almost as large as levels of between-group nucleotide distance (pi(Between)) within each pair, suggesting recent common ancestry and/or gene flow. In two pairs, a pattern of the F-ST peaks having low pi(Between) suggests that selective sweeps spread between geographically differentiated groups, followed by local differentiation. This "sweep-before-differentiation" model is consistent with signatures of gene flow within the yellow-rumped warbler species complex. These findings add to our growing understanding of speciation as a complex process that can involve phases of adaptive introgression among partially differentiated populations.	2018	10.1111/mec.14858		Birds	Passeriformes	Geothlypis, Setophaga	TRUE	FALSE		TRUE	sequence similarity, PCA, D stats	GBS (480714 loci)	TRUE	
