P1	P2	P3	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Histoplasma ohiense	Histoplasma mississippiense	Histoplasma capsulatum	Ascomycetes	Eurotiomycetes	D	0.187	505.602	WGS	DOI: 10.1128/mBio.01339-17	Matute, DR	03-27-20	Table 4	specific configurations	yes	Z	2.11		
Histoplasma mississippiense	Histoplasma Africa	Histoplasma mississippiense	Ascomycetes	Eurotiomycetes	D	0.198	500.946	WGS	DOI: 10.1128/mBio.01339-17	Matute, DR	03-28-20	Table 4	specific configurations	yes	Z	2.4		
Histoplasma suramericanum	Histoplasma ohiense	Histoplasma mississippiense	Ascomycetes	Eurotiomycetes	D	0.186	527.217	WGS	DOI: 10.1128/mBio.01339-17	Matute, DR	03-29-20	Table 4	specific configurations	yes	Z	1.7		
Histoplasma ohiense	Histoplasma mississippiense	Histoplasma capsulatum	Ascomycetes	Eurotiomycetes	fD	0.036	505.602	WGS	DOI: 10.1128/mBio.01339-17	Matute, DR	03-30-20	Table 4	specific configurations	yes	Z	2.11		
Histoplasma mississippiense	Histoplasma Africa	Histoplasma mississippiense	Ascomycetes	Eurotiomycetes	fD	0.043	500.946	WGS	DOI: 10.1128/mBio.01339-17	Matute, DR	03-27-20	Table 4	specific configurations	yes	Z	2.4		
Histoplasma suramericanum	Histoplasma ohiense	Histoplasma mississippiense	Ascomycetes	Eurotiomycetes	fD	0.04	527.217	WGS	DOI: 10.1128/mBio.01339-17; doi.org/10.1002/evl3.59	Matute, DR	03-27-20	Table 4	specific configurations	yes	Z	1.7		
Ophiostoma novo-ulmi (AME1H)	Ophiostoma novo-ulmi (AME1)	Ophiostoma novo-ulmi (OU)	Ascomycetes	Sordariomycetes	D	-0.14		WGS	https://doi.org/10.1038/s41559-020-1133-6			Pulled from figure	specific configurations	no	NA			
Ophiostoma novo-ulmi (AME2)	Ophiostoma novo-ulmi (AME2)	Ophiostoma novo-ulmi  (OU)	Ascomycetes	Sordariomycetes	D	-0.72		WGS	https://doi.org/10.1038/s41559-020-1133-6			Pulled from figure	specific configurations	no	NA			
Ophiostoma novo-ulmi (NOV)	Ophiostoma novo-ulmi (NOV)	Ophiostoma novo-ulmi  (OU)	Ascomycetes	Sordariomycetes	D	-0.74		WGS	https://doi.org/10.1038/s41559-020-1133-6			Pulled from figure	specific configurations	no	NA			
Ophiostoma novo-ulmi (AME1)	Ophiostoma novo-ulmi (AME1)	Ophiostoma novo-ulmi (AME2)	Ascomycetes	Sordariomycetes	D	-0.63		WGS	https://doi.org/10.1038/s41559-020-1133-6			Pulled from figure	specific configurations	no	NA			
Ophiostoma novo-ulmi (AME1)	Ophiostoma novo-ulmi (AME1)	Ophiostoma novo-ulmi (NOV)	Ascomycetes	Sordariomycetes	D	-0.03		WGS	https://doi.org/10.1038/s41559-020-1133-6			Pulled from figure	specific configurations	no	NA			
Ophiostoma novo-ulmi (AME2)	Ophiostoma novo-ulmi (AME2)	Ophiostoma novo-ulmi (AME1)	Ascomycetes	Sordariomycetes	D	-0.95		WGS	https://doi.org/10.1038/s41559-020-1133-6			Pulled from figure	specific configurations	no	NA			
Ophiostoma novo-ulmi (AME2)	Ophiostoma novo-ulmi (AME2)	Ophiostoma novo-ulmi (NOV)	Ascomycetes	Sordariomycetes	D	0.12		WGS	https://doi.org/10.1038/s41559-020-1133-6			Pulled from figure	specific configurations	no	NA			
Ophiostoma novo-ulmi (NOV)	Ophiostoma novo-ulmi (NOV)	Ophiostoma novo-ulmi (AME1)	Ascomycetes	Sordariomycetes	D	-0.52		WGS	https://doi.org/10.1038/s41559-020-1133-6			Pulled from figure	specific configurations	no	NA			
Ophiostoma novo-ulmi (NOV)	Ophiostoma novo-ulmi (NOV)	Ophiostoma novo-ulmi (AME2)	Ascomycetes	Sordariomycetes	D	-0.37		WGS	https://doi.org/10.1038/s41559-020-1133-6			Pulled from figure	specific configurations	no	NA			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.58560163	68.5929122	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	0.57788698	68.4793402	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	0.56929776	66.7776113	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.59088897	66.2587989	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.58958303	64.3375772	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	0.58411472	58.8515042	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.5224715	-30.46449	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.4973002	-23.059849	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2986477	-17.156733	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.3115618	-17.012343	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.3001284	-14.6223	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
