species	taxid
Picea pungens	3331
Picea sitchensis	3332
Picea rubens	3333
Picea engelmannii	3334
Picea mariana	3335
Picea omorika	3336
Persea americana var. Hass	3435
Persea americana var. guatamalensis	3435
Aquilegia vulgaris	3451
Actinidia chinensis var. deliciosa 	3627
Citrullus lanatus 	3654
Populus nigra	3691
Populus tremuloides	3693
Populus trichocarpa	3694
Populus deltoides	3696
Arabidopsis thaliana	3702
Capsella bursa-pastoris	3719
Prunus persica	3760
Solanum lycopersicum	4081
Solanum peruvianum	4082
Solanum chilense	4083
Solanum pimpinellifolium	4084
Mimulus guttatus 	4155
Mimulus guttatus	4155
Mimulus nasutus	4158
Helianthus annuus	4232
Helianthusannus + Helianthus petiolaris	NA
Helianthus petiolaris	4234
Aegilops bicornis	4483
Aegilops comosa 	4485
Aegilops longissima	4486
Aegilops searsii	4487
"[Aegilops comosa, Aegilops uniaristata, Aegilops umbellulata, Aegilops caudata , Aegilops tauschii, Aegilops longissima, Aegilops sharonensis, Aegilops bicornis, Aegilops searsii]"	4487
Aegilops umbellulata	4491
Aegilops uniaristata 	4492
Aegilops markgrafii 	4494
Oryza	4527
Oryza rufipogon	4529
Oryza nivara	4536
Triticum aestivum	4565
Triticum durum	4567
Triticum monococcum	4568
"[Triticum monococcum spp. monococcum, Triticum urartu, Triticum monococcum spp. aegilopoides]"	NA
Triticum urartu	4572
Aegilops speltoides	4573
Zea mays 	4577
Amblyopyrum muticum	4595
[Aegilops mutica]	4595
Musa acuminata var. Banksii	4641
Musa acuminata var. Burmannica	4641
Histoplasma capsulatum	5037
Coccidioides immitis	5501
Schistosoma bovis	6184
Schistosoma haematobium	6185
Schistosoma curassoni	6186
Drosophila teissieri	7243
Drosophila yakuba	7245
Anguilla marmorata	7939
Catostomus Pantosteus	7969
Catostomus clarkii	7970
Salmo trutta	8032
Salvelinus leucomaenis	8034
Salvelinus alpinus 	8036
Salvelinus confluentus	8037
Salvelinus fontinalis	8038
Salvelinus malma 	8039
Salvelinus namaycush	8040
Gadus morhua	8049
Gadus ogac	8052
Xiphophorus helleri	8084
Xiphophorus hellerii	8084
Xiphophorus xiphidium	8086
Astatotilapia spp. 	8152
Astatotilapia calliptera	8154
Caracal aurata	8174
Anser anser	8843
Anser cygnoides	8845
Anser indicus	8846
Chen caerulescens	8849
Branta canadensis	8853
Gallus gallus	9031
Gallus gallus domesticus	9031
Gallus lafayettii	9032
Gallus sonneratii	9033
Gallus varius	9034
Certhidea psittacula	9227
Cheirogaleus medius	9460
Macaca arctoides	9540
Macaca fascicularis	9541
Macaca mulatta	9544
Macaca assamensis	9551
Homo sapiens 	9606
Canis lupus 	9612
Canis lupus	9612
Canis latrans 	9614
Canis familiaris 	9615
